ID,Name,canonical_outcomes
2,Accused person convicted,Convicted
3,"Allow  appellant's appeal, quash conviction, set aside the sentence imposed on him and proceed to order his immediate release from custody unless otherwise lawfully held",Allowed | Quashed | Release ordered
4,"Allow the first ground of appeal and hold that, the prosecution case was not proved beyond reasonable doubt",Allowed
5,Appeal allowed,Allowed
6,"Appeal allowed  and consequently, quash the proceedings of both the Tribunal and the High Court and set aside the resultant Judgments",Allowed | Quashed
7,Appeal  allowed and order the appellant to be released from custody unless he is otherwise held for other lawful cause (s).,Allowed | Release ordered
8,Appeal allowed quash and set aside the appellant's conviction for murder and sentence of death,Allowed | Quashed
9,"Appeal allowed, quash conviction and set aside the appellant's death sentence, immediate release of the appellant from prison unless held for other lawful cause.",Allowed | Quashed | Release ordered
10,"Appeal allowed, quash conviction and set aside the sentence imposed on the appellant,  the appellant should be released from prison forthwith, unless held for other lawful cause.",Allowed | Quashed | Release ordered
11,"Appeal allowed , quash conviction of murder against the appellant and set aside the sentence of death passed, and substitute for a conviction of manslaughter.",Allowed | Quashed
12,"Appeal allowed, quash the appellant's conviction and set aside the sentence meted out on him by the trial court and subsequently sustained by the first appellate court. We order for the appellant's immediate release from prison if he is not otherwise detained for some other lawful cause.",Allowed | Quashed | Release ordered
13,"Appeal allowed, quash the appellant's conviction and set aside the sentence. The appellant should be released from prison forthwith unless he is held for other lawful cause",Allowed | Quashed | Release ordered
14,"Appeal allowed, quash the conviction and set aside the sentence and the appellant be immediately set free unless held for some other lawful cause.",Allowed | Quashed
15,"Appeal allowed, quash the conviction and set aside the sentence imposed on him. We further order the appellant be released from the prison forthwith unless he is otherwise lawfully held",Allowed | Quashed | Release ordered
16,"Appeal allowed, quash the convictions and set aside the sentence the appellants be immediately set free unless held for some other lawful cause.",Allowed | Quashed
46,Appeal No. 619 of 2022  allowed to the extent indicated and strike out Civil Appeal No. 13 of 2023,Struck out
47,Appeal nullified,Proceedings nullified
17,"Appeal allowed, quash the conviction, set aside the sentences meted out against the appellants. We further order that, the appellants be released forthwith from custody unless held for other lawful reasons",Allowed | Quashed | Release ordered
18,Appeal allowed the appeal thereby quash the appellants' conviction and set aside the sentences meted against them. We order their release from prison forthwith unless held for other lawful cause(s).,Allowed | Quashed | Release ordered
